team_code,team_name,league,country,team_id,team_dir,poster_file,poster_file_status,poster_file_bytes,document_public_flag,tdp_consent,video_consent,poster_consent,bom_consent,source_code_consent,publication_consent_status,disagreed_artifacts,missing_consent_artifacts,unknown_consent_values,poster_publication_allowed_by_consent,all_publication_consents_agree
L01,Alpha,Line,Mexico,6a25ee91105b411f7b065475,teams/L01_Alpha,teams/L01_Alpha/poster.pdf,ok,8667383,False,Agree,Disagree,Agree,Agree,Disagree,partial_or_declined,Video;Source Code,,,True,False
L02,Angora Goasbock,Line,Austria,6a25ee91105b411f7b065477,teams/L02_Angora Goasbock,teams/L02_Angora Goasbock/poster.pdf,ok,1015519,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
L03,Antares,Line,Uruguay,6a25ee91105b411f7b065479,teams/L03_Antares,teams/L03_Antares/poster.pdf,ok,205903,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
L04,BioBrause,Line,Germany,6a25ee91105b411f7b06547b,teams/L04_BioBrause,teams/L04_BioBrause/poster.pdf,ok,1074105,False,Agree,Disagree,Agree,Disagree,Disagree,partial_or_declined,Video;BOM;Source Code,,,True,False
L05,Brainbots,Line,Brazil,6a25ee91105b411f7b06547d,teams/L05_Brainbots,teams/L05_Brainbots/poster.pdf,ok,6035625,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
L06,Bricks,Line,Republic of Korea,6a25ee91105b411f7b06547f,teams/L06_Bricks,teams/L06_Bricks/poster.pdf,ok,2423425,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
L07,Chien-Tai && Min-Jen Joint Team,Line,Taiwan,6a25ee91105b411f7b065481,teams/L07_Chien-Tai && Min-Jen Joint Team,teams/L07_Chien-Tai && Min-Jen Joint Team/poster.pdf,ok,4451307,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
L08,DMS-Kaede,Line,Japan,6a25ee91105b411f7b065483,teams/L08_DMS-Kaede,teams/L08_DMS-Kaede/poster.pdf,ok,399039,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
L09,Dry Lettuce,Line,Australia,6a25ee91105b411f7b065485,teams/L09_Dry Lettuce,teams/L09_Dry Lettuce/poster.pdf,ok,2642665,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
L10,ERROR404,Line,Kazakhstan,6a25ee91105b411f7b065487,teams/L10_ERROR404,teams/L10_ERROR404/poster.pdf,error,0,False,Missing,Missing,Missing,Missing,Missing,incomplete,,TDP;Video;Poster;BOM;Source Code,,False,False
