team_code,artifact,local_path,stage_relpath,bytes
L01,team_photo,teams/L01_Alpha/team_photo.jpeg,L01/team_photo.jpeg,245789
L01,robot_photo,teams/L01_Alpha/robot_photo.png,L01/robot_photo.png,741056
L01,poster,teams/L01_Alpha/poster.pdf,L01/poster.pdf,8667383
L01,bom,teams/L01_Alpha/bom.pdf,L01/bom.pdf,168544
L02,team_photo,teams/L02_Angora Goasbock/team_photo.JPEG,L02/team_photo.JPEG,719079
L02,robot_photo,teams/L02_Angora Goasbock/robot_photo.png,L02/robot_photo.png,175570
L02,poster,teams/L02_Angora Goasbock/poster.pdf,L02/poster.pdf,1015519
L02,video,teams/L02_Angora Goasbock/video.mp4,L02/video.mp4,98954352
L02,video_thumbnail,teams/L02_Angora Goasbock/video-thumbnail.png,L02/video_thumbnail.png,114468
L02,bom,teams/L02_Angora Goasbock/bom.pdf,L02/bom.pdf,360427
L02,source_code,teams/L02_Angora Goasbock/code.zip,L02/source_code.zip,1771583
L02,tdp_pdf_optional,teams/L02_Angora Goasbock/tdp.pdf,L02/tdp_pdf_optional.pdf,5850095
L03,team_photo,teams/L03_Antares/team_photo.jpeg,L03/team_photo.jpeg,240959
L03,robot_photo,teams/L03_Antares/robot_photo.png,L03/robot_photo.png,714142
L03,poster,teams/L03_Antares/poster.pdf,L03/poster.pdf,205903
L03,video,teams/L03_Antares/video.mp4,L03/video.mp4,349768027
L03,video_thumbnail,teams/L03_Antares/video-thumbnail.png,L03/video_thumbnail.png,272386
L03,bom,teams/L03_Antares/bom.pdf,L03/bom.pdf,1294649
L03,source_code,teams/L03_Antares/code.zip,L03/source_code.zip,4063
L03,tdp_pdf_optional,teams/L03_Antares/tdp.pdf,L03/tdp_pdf_optional.pdf,2255649
L04,team_photo,teams/L04_BioBrause/team_photo.jpeg,L04/team_photo.jpeg,766904
L04,robot_photo,teams/L04_BioBrause/robot_photo.jpg,L04/robot_photo.jpg,520410
L04,poster,teams/L04_BioBrause/poster.pdf,L04/poster.pdf,1074105
L05,team_photo,teams/L05_Brainbots/team_photo.jpg,L05/team_photo.jpg,1406976
L05,robot_photo,teams/L05_Brainbots/robot_photo.jpeg,L05/robot_photo.jpeg,136488
L05,poster,teams/L05_Brainbots/poster.pdf,L05/poster.pdf,6035625
L05,video,teams/L05_Brainbots/video.mp4,L05/video.mp4,500695401
L05,video_thumbnail,teams/L05_Brainbots/video-thumbnail.png,L05/video_thumbnail.png,251947
L05,bom,teams/L05_Brainbots/bom.pdf,L05/bom.pdf,152997
L05,tdp_pdf_optional,teams/L05_Brainbots/tdp.pdf,L05/tdp_pdf_optional.pdf,6014811
L06,team_photo,teams/L06_Bricks/team_photo.jpg,L06/team_photo.jpg,2099026
L06,robot_photo,teams/L06_Bricks/robot_photo.jpg,L06/robot_photo.jpg,1357685
L06,poster,teams/L06_Bricks/poster.pdf,L06/poster.pdf,2423425
L06,video,teams/L06_Bricks/video.mp4,L06/video.mp4,71371385
L06,video_thumbnail,teams/L06_Bricks/video-thumbnail.png,L06/video_thumbnail.png,57413
L06,bom,teams/L06_Bricks/bom.pdf,L06/bom.pdf,152766
L06,source_code,teams/L06_Bricks/code.zip,L06/source_code.zip,36314
L06,tdp_pdf_optional,teams/L06_Bricks/tdp.pdf,L06/tdp_pdf_optional.pdf,989028
L07,team_photo,teams/L07_Chien-Tai && Min-Jen Joint Team/team_photo.jpg,L07/team_photo.jpg,97137
L07,robot_photo,teams/L07_Chien-Tai && Min-Jen Joint Team/robot_photo.jpg,L07/robot_photo.jpg,52975
L07,poster,teams/L07_Chien-Tai && Min-Jen Joint Team/poster.pdf,L07/poster.pdf,4451307
L07,video,teams/L07_Chien-Tai && Min-Jen Joint Team/video.mp4,L07/video.mp4,22358975
L07,video_thumbnail,teams/L07_Chien-Tai && Min-Jen Joint Team/video-thumbnail.png,L07/video_thumbnail.png,255698
L07,bom,teams/L07_Chien-Tai && Min-Jen Joint Team/bom.pdf,L07/bom.pdf,152988
L07,source_code,teams/L07_Chien-Tai && Min-Jen Joint Team/code.zip,L07/source_code.zip,1842097
L08,team_photo,teams/L08_DMS-Kaede/team_photo.jpg,L08/team_photo.jpg,207367
L08,robot_photo,teams/L08_DMS-Kaede/robot_photo.png,L08/robot_photo.png,295228
L08,poster,teams/L08_DMS-Kaede/poster.pdf,L08/poster.pdf,399039
L08,video,teams/L08_DMS-Kaede/video.mp4,L08/video.mp4,164748599
L08,video_thumbnail,teams/L08_DMS-Kaede/video-thumbnail.png,L08/video_thumbnail.png,258501
L08,bom,teams/L08_DMS-Kaede/bom.pdf,L08/bom.pdf,213802
L08,source_code,teams/L08_DMS-Kaede/code.zip,L08/source_code.zip,4582
L09,team_photo,teams/L09_Dry Lettuce/team_photo.jpg,L09/team_photo.jpg,1752257
L09,robot_photo,teams/L09_Dry Lettuce/robot_photo.jpg,L09/robot_photo.jpg,2545682
L09,poster,teams/L09_Dry Lettuce/poster.pdf,L09/poster.pdf,2642665
L09,video,teams/L09_Dry Lettuce/video.mp4,L09/video.mp4,167628015
L09,video_thumbnail,teams/L09_Dry Lettuce/video-thumbnail.png,L09/video_thumbnail.png,56871
L09,bom,teams/L09_Dry Lettuce/bom.pdf,L09/bom.pdf,63722
L09,source_code,teams/L09_Dry Lettuce/code.zip,L09/source_code.zip,46592073
L11,team_photo,teams/L11_FATEN/team_photo.jpeg,L11/team_photo.jpeg,219760
L11,robot_photo,teams/L11_FATEN/robot_photo.jpeg,L11/robot_photo.jpeg,90285
L11,poster,teams/L11_FATEN/poster.pdf,L11/poster.pdf,2410350
L11,video,teams/L11_FATEN/video.mp4,L11/video.mp4,138953997
